Source,Year,Mean,datetime,epoch
gcag,1850-01,-0.6746,1850-01-01,-3786825600.0
gcag,1850-02,-0.3334,1850-02-01,-3784147200.0
gcag,1850-03,-0.5913,1850-03-01,-3781728000.0
gcag,1850-04,-0.5887,1850-04-01,-3779049600.0
gcag,1850-05,-0.5088,1850-05-01,-3776457600.0
gcag,1850-06,-0.3442,1850-06-01,-3773779200.0
gcag,1850-07,-0.1598,1850-07-01,-3771187200.0
gcag,1850-08,-0.2077,1850-08-01,-3768508800.0
gcag,1850-09,-0.3847,1850-09-01,-3765830400.0
gcag,1850-10,-0.5331,1850-10-01,-3763238400.0
gcag,1850-11,-0.2825,1850-11-01,-3760560000.0
gcag,1850-12,-0.4037,1850-12-01,-3757968000.0
gcag,1851-01,-0.2007,1851-01-01,-3755289600.0
gcag,1851-02,-0.4693,1851-02-01,-3752611200.0
gcag,1851-03,-0.6461,1851-03-01,-3750192000.0
gcag,1851-04,-0.5421,1851-04-01,-3747513600.0
gcag,1851-05,-0.1976,1851-05-01,-3744921600.0
gcag,1851-06,-0.1367,1851-06-01,-3742243200.0
gcag,1851-07,-0.0968,1851-07-01,-3739651200.0
gcag,1851-08,-0.1018,1851-08-01,-3736972800.0
gcag,1851-09,-0.0912,1851-09-01,-3734294400.0
gcag,1851-10,-0.0084,1851-10-01,-3731702400.0
gcag,1851-11,-0.0819,1851-11-01,-3729024000.0
gcag,1851-12,-0.2275,1851-12-01,-3726432000.0
gcag,1852-01,-0.3751,1852-01-01,-3723753600.0
gcag,1852-02,-0.4767,1852-02-01,-3721075200.0
gcag,1852-03,-0.5598,1852-03-01,-3718569600.0
gcag,1852-04,-0.5854,1852-04-01,-3715891200.0
gcag,1852-05,-0.1274,1852-05-01,-3713299200.0
gcag,1852-06,-0.0837,1852-06-01,-3710620800.0
gcag,1852-07,0.005,1852-07-01,-3708028800.0
gcag,1852-08,-0.1356,1852-08-01,-3705350400.0
gcag,1852-09,-0.0019,1852-09-01,-3702672000.0
gcag,1852-10,-0.1724,1852-10-01,-3700080000.0
gcag,1852-11,-0.3052,1852-11-01,-3697401600.0
gcag,1852-12,0.0654,1852-12-01,-3694809600.0
gcag,1853-01,-0.2326,1853-01-01,-3692131200.0
gcag,1853-02,-0.4037,1853-02-01,-3689452800.0
gcag,1853-03,-0.2804,1853-03-01,-3687033600.0
gcag,1853-04,-0.3863,1853-04-01,-3684355200.0
gcag,1853-05,-0.2679,1853-05-01,-3681763200.0
gcag,1853-06,-0.1424,1853-06-01,-3679084800.0
gcag,1853-07,-0.0834,1853-07-01,-3676492800.0
gcag,1853-08,-0.0566,1853-08-01,-3673814400.0
gcag,1853-09,-0.2503,1853-09-01,-3671136000.0
